,0
0,0.4
1,0.8644444444444446
2,1.328888888888889
3,1.7933333333333334
4,2.257777777777778
5,2.7222222222222223
6,3.186666666666667
7,3.651111111111111
8,4.115555555555556
9,4.580000000000001
10,5.044444444444445
11,5.508888888888889
12,5.9733333333333345
13,6.437777777777779
14,6.902222222222223
15,7.366666666666668
16,7.831111111111112
17,8.295555555555556
18,8.760000000000002
19,9.224444444444446
20,9.68888888888889
21,10.153333333333334
22,10.617777777777778
23,11.082222222222224
24,11.546666666666669
25,12.011111111111113
26,12.475555555555557
27,12.940000000000001
28,13.404444444444445
29,13.868888888888891
30,14.333333333333336
31,14.79777777777778
32,15.262222222222224
33,15.726666666666668
34,16.191111111111113
35,16.655555555555555
36,17.12
37,17.584444444444443
38,18.04888888888889
39,18.513333333333335
40,18.977777777777778
41,19.442222222222224
42,19.906666666666666
43,20.371111111111112
44,20.835555555555555
45,21.3
